Timestamp,Temperature (°C),Humidity (%)
2024-09-05 16:41:51,18.3,82.0
2024-09-05 16:41:53,18.3,82.0
2024-09-05 16:41:55,18.3,82.0
2024-09-05 16:41:57,18.3,81.0
2024-09-05 16:41:59,18.3,81.0
2024-09-05 16:42:01,18.2,81.0
2024-09-05 16:42:03,18.2,81.0
2024-09-05 16:42:05,18.2,80.0
2024-09-05 16:42:07,18.1,80.0
2024-09-05 16:42:09,18.1,80.0
2024-09-05 16:42:11,18.1,80.0
2024-09-05 16:42:13,18.1,80.0
2024-09-05 16:42:15,18.0,79.0
2024-09-05 16:42:17,18.0,79.0
2024-09-05 16:42:19,18.0,79.0
2024-09-05 16:42:21,18.0,78.0
2024-09-05 16:42:23,18.0,78.0
2024-09-05 16:42:25,18.0,77.0
2024-09-05 16:42:27,18.0,77.0
2024-09-05 16:42:29,17.9,77.0
2024-09-05 16:42:31,17.9,76.0
2024-09-05 16:42:33,17.9,76.0
2024-09-05 16:42:35,17.9,76.0
2024-09-05 16:42:37,17.8,75.0
2024-09-05 16:42:39,17.8,75.0
2024-09-05 16:42:41,17.8,75.0
2024-09-05 16:42:43,17.8,74.0
2024-09-05 16:42:45,17.8,74.0
2024-09-05 16:42:47,17.8,74.0
2024-09-05 16:42:49,17.8,73.0
2024-09-05 16:42:51,17.8,73.0
2024-09-05 16:42:53,17.8,73.0
2024-09-05 16:42:55,17.7,73.0
2024-09-05 16:42:57,17.7,72.0
2024-09-05 16:42:59,17.7,72.0
2024-09-05 16:43:01,17.7,72.0
2024-09-05 16:43:03,17.7,72.0
2024-09-05 16:43:05,17.7,71.0
2024-09-05 16:43:07,17.6,71.0
2024-09-05 16:43:09,17.6,71.0
2024-09-05 16:43:11,17.6,71.0
2024-09-05 16:43:13,17.6,70.0
2024-09-05 16:43:15,17.6,70.0
2024-09-05 16:43:17,17.6,70.0
2024-09-05 16:43:19,17.6,70.0
2024-09-05 16:43:21,17.6,69.0
2024-09-05 16:43:23,17.6,69.0
2024-09-05 16:43:25,17.6,69.0
2024-09-05 16:43:27,17.6,69.0
2024-09-05 16:43:29,17.6,69.0
2024-09-05 16:43:31,17.6,68.0
2024-09-05 16:43:33,17.5,68.0
2024-09-05 16:43:35,17.5,68.0
2024-09-05 16:43:37,17.5,68.0
2024-09-05 16:43:39,17.5,68.0
2024-09-05 16:43:41,17.5,68.0
2024-09-05 16:43:43,17.5,67.0
2024-09-05 16:43:45,17.5,67.0
2024-09-05 16:43:47,17.5,67.0
2024-09-05 16:43:50,17.5,67.0
2024-09-05 16:43:52,17.5,67.0
2024-09-05 16:43:54,17.5,67.0
2024-09-05 16:43:56,17.5,67.0
2024-09-05 16:43:58,17.5,67.0
2024-09-05 16:44:00,17.5,67.0
2024-09-05 16:44:02,17.5,66.0
2024-09-05 16:44:04,17.5,66.0
2024-09-05 16:44:06,17.5,66.0
2024-09-05 16:44:08,17.5,66.0
2024-09-05 16:44:10,17.5,66.0
2024-09-05 16:44:12,17.5,66.0
2024-09-05 16:44:14,17.5,66.0
2024-09-05 16:44:16,17.5,66.0
2024-09-05 16:44:18,17.4,66.0
2024-09-05 16:44:20,17.4,66.0
2024-09-05 16:44:22,17.4,66.0
2024-09-05 16:44:24,17.4,66.0
2024-09-05 16:44:26,17.4,66.0
2024-09-05 16:44:28,17.4,66.0
2024-09-05 16:44:30,17.4,66.0
2024-09-05 16:44:32,17.4,65.0
2024-09-05 16:44:34,17.4,65.0
2024-09-05 16:44:36,17.4,65.0
2024-09-05 16:44:38,17.4,65.0
2024-09-05 16:44:40,17.4,65.0
2024-09-05 16:44:42,17.3,65.0
2024-09-05 16:44:44,17.4,65.0
2024-09-05 16:44:46,17.4,65.0
2024-09-05 16:44:48,17.4,65.0
2024-09-05 16:44:50,17.3,65.0
2024-09-05 16:44:52,17.3,65.0
2024-09-05 16:44:54,17.3,65.0
2024-09-05 16:44:56,17.3,65.0
2024-09-05 16:44:58,17.3,65.0
2024-09-05 16:45:00,17.3,65.0
2024-09-05 16:45:02,17.3,65.0
2024-09-05 16:45:04,17.3,65.0
2024-09-05 16:45:06,17.3,64.0
2024-09-05 16:45:08,17.3,64.0
2024-09-05 16:45:10,17.2,64.0
2024-09-05 16:45:12,17.3,64.0
2024-09-05 16:45:14,17.2,64.0
2024-09-05 16:45:16,17.2,64.0
2024-09-05 16:45:18,17.2,64.0
2024-09-05 16:45:20,17.2,64.0
2024-09-05 16:45:22,17.2,64.0
2024-09-05 16:45:24,17.2,64.0
2024-09-05 16:45:26,17.2,64.0
2024-09-05 16:45:28,17.2,64.0
2024-09-05 16:45:30,17.2,64.0
2024-09-05 16:45:32,17.2,64.0
2024-09-05 16:45:34,17.2,64.0
2024-09-05 16:45:36,17.2,63.0
2024-09-05 16:45:38,17.2,63.0
2024-09-05 16:45:40,17.2,63.0
2024-09-05 16:45:42,17.2,63.0
2024-09-05 16:45:44,17.2,63.0
2024-09-05 16:45:46,17.2,63.0
2024-09-05 16:45:48,17.2,63.0
2024-09-05 16:45:50,17.2,63.0
2024-09-05 16:45:52,17.2,63.0
2024-09-05 16:45:54,17.2,63.0
2024-09-05 16:45:56,17.2,63.0
2024-09-05 16:45:58,17.2,63.0
2024-09-05 16:46:00,17.2,63.0
2024-09-05 16:46:02,17.2,63.0
2024-09-05 16:46:04,17.2,62.0
2024-09-05 16:46:06,17.2,62.0
2024-09-05 16:46:08,17.2,62.0
2024-09-05 16:46:10,17.2,62.0
2024-09-05 16:46:12,17.2,62.0
2024-09-05 16:46:14,17.2,62.0
2024-09-05 16:46:16,17.2,62.0
2024-09-05 16:46:18,17.2,62.0
2024-09-05 16:46:20,17.2,62.0
2024-09-05 16:46:22,17.2,62.0
2024-09-05 16:46:24,17.2,62.0
2024-09-05 16:46:26,17.2,62.0
2024-09-05 16:46:28,17.2,62.0
2024-09-05 16:46:30,17.2,62.0
2024-09-05 16:46:32,17.2,64.0
2024-09-05 16:46:34,17.2,66.0
2024-09-05 16:46:36,17.4,67.0
2024-09-05 16:46:38,19.1,89.0
2024-09-05 16:46:40,22.4,99.0
